_id,achievement,birthCountry,century,classification,image,intro,latitude,longitude,mactutorUrl,name,number,wikiUrl,year
64a483d0af31172b76211848,"The term algorithm is derived from the algorism, the technique of performing arithmetic with Hindu–Arabic numerals popularised by al-Khwarizmi in his book On the Calculation with Hindu Numerals.",Khwarazm,9,"“algorithms” , “theory of computation”",https://uwaterloo.ca/math/sites/ca.math/files/resize/uploads/images/al-khwarizmi_portrait-250x361.jpeg,"Al-Khwarizmi, a 9th-century Persian mathematician, is known as the ""Father of Algebra."" His book ""Kitab al-Jabr wa al-Muqabala"" introduced systematic methods for solving equations and laid the foundation for algebra. He also made contributions to trigonometry and the adoption of Arabic numerals, shaping the development of mathematics.",41.3776,60.3598,https://mathshistory.st-andrews.ac.uk/Biographies/Al-Khwarizmi/,Al - Khwarizmi,1,https://en.wikipedia.org/wiki/Muhammad_ibn_Musa_al-Khwarizmi,830
64a483d0af31172b76211849,"Their book ""The Book of Ingenious Devices"" showcased mechanical inventions, automata, and scientific knowledge. Their contributions to mathematics, engineering, and technology had a lasting impact on the Islamic Golden Age and advanced scientific understanding.",Iraq,9,"“applied computing”, “hardware”",https://mathshistory.st-andrews.ac.uk/Biographies/Banu_Musa/thumbnail.jpg,"The Banū Mūsā brothers, Ahmad, Muhammad, and al-Hasan, were a group of three Persian scholars who lived during the 9th century in Baghdad, which was then part of the Abbasid Caliphate. They were renowned for their contributions to various fields, including mathematics, mechanics, and engineering. The brothers authored several influential works, such as the ""Book of Ingenious Devices,"" which covered a wide range of subjects like automata, geometry, and astronomical instruments. Their works were instrumental in preserving and advancing scientific knowledge from the Hellenistic and Persian traditions.",33.3152,44.3661,https://mathshistory.st-andrews.ac.uk/Biographies/Banu_Musa/,Banu Musa Brothers,2,https://en.wikipedia.org/wiki/Banū_Mūsā_brothers,850
64a483d0af31172b7621184a,"He is best known for his book ""The Book of Knowledge of Ingenious Mechanical Devices,"" also known as ""Al-Jazari's Book of Knowledge."" This book described various mechanical devices and automated systems, including clocks, water-raising machines, musical instruments, and more. Al-Jazari's work had a significant influence on the development of engineering and automation during the Islamic Golden Age.",Turkey,13,"“applied computing”, “hardware”",https://science4fun.info/wp-content/uploads/2020/02/Al-Jazari.jpg,"Ismail al-Jazari was a polymath who lived during the Islamic Golden Age (roughly 8th to 14th centuries). He was an inventor, mechanical engineer, artisan, artist and mathematician who wrote an influential book called ""The Book of Knowledge of Ingenious Mechanical Devices"" in which he described 100 mechanical devices, 80 of which were trick vessels of various kinds, along with instructions on how to construct them",37.9144,40.2306,,Al - Jazari,3,https://en.wikipedia.org/wiki/Ismail_al-Jazari,1206
64a483d0af31172b7621184b,"Designed multiple symbolic representations machines, and pioneered notions of symbolic representation and manipulation to produce knowledge—both of which were major influences on Leibniz.",Spain,14,"“theory of computation”, “applied computing”",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Francisco_Ribalta_-_Ramon_Llull_-_Google_Art_Project.jpg/220px-Francisco_Ribalta_-_Ramon_Llull_-_Google_Art_Project.jpg,"Ramon Llull (1232–1316), also known as Raymond Lull or Lully, was a mathematician, polymath, philosopher, logician, Franciscan tertiary, and writer from the Kingdom of Majorca. He is best known for his Ars Combinatoria, a method aimed at discovering truth by combining basic elements of knowledge through a systematic process.",39.6953,2.6502,https://mathshistory.st-andrews.ac.uk/Biographies/Llull/,Ramon Llull,4,https://en.wikipedia.org/wiki/Ramon_Llull,1300
64a483d0af31172b7621184c,"Pascal is famous for his contributions to probability theory and his work with Pascal's Triangle which is used in binomial expansion. Pascal is also known for inventing an early digital calculator, a syringe, a hydraulic press, and the roulette wheel.He also invented the mechanical calculator.",France,17,"“theory of computation”, “hardware”",https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Blaise_Pascal_Versailles.JPG/220px-Blaise_Pascal_Versailles.JPG,"Blaise Pascal was a French mathematician, physicist, inventor, writer, and Catholic theologian who lived in the 17th century. He made several important contributions to mathematics and physical sciences, and also invented the Pascaline, an early mechanical calculator.",45.7772,3.087,https://mathshistory.st-andrews.ac.uk/Biographies/Pascal/,Blaise Pascal,5,https://en.wikipedia.org/wiki/Blaise_Pascal,1642
64a483d0af31172b7621184d,"Made advances in symbolic logic, such as the Calculus ratiocinator, that were heavily influential on Gottlob Frege. Known for his contributions to mathematics, philosophy, and computer science. Co-inventor of calculus alongside Newton, his work laid foundational aspects of modern computing. Leibniz's philosophical theories significantly influenced subsequent Western thought.",Germany,17,"“theory of computation”, “hardware”, “applied computing”",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Christoph_Bernhard_Francke_-_Bildnis_des_Philosophen_Leibniz_%28ca._1695%29.jpg/220px-Christoph_Bernhard_Francke_-_Bildnis_des_Philosophen_Leibniz_%28ca._1695%29.jpg,"Gottfried Wilhelm Leibniz (1646-1716) was a prominent German polymath, instrumental in the development of calculus, independently of Newton. His other areas of contribution encompass philosophy, politics, law, and theology. Leibniz's work on metaphysics and logic, particularly on monads, is still widely studied.",51.3397,12.3731,https://mathshistory.st-andrews.ac.uk/Biographies/Leibniz/,Gottfried Leibniz ,6,https://en.wikipedia.org/wiki/Gottfried_Leibniz,1670
64a483d0af31172b7621184e,"French inventor who created the Jacquard loom, a mechanical loom that used punched cards to control the weaving of complex patterns. This innovation revolutionized the textile industry and laid the foundation for modern computer programming and automation.",France,19,"“hardware”, “applied computing”",https://cdn.britannica.com/44/206544-004-3FB2111C.jpg,"Joseph Marie Jacquard was a French weaver and merchant who lived in the 18th and 19th centuries. He played a crucial role in the development of the earliest programmable loom, which is often referred to as the ""Jacquard loom"". This device used punched cards to control a sequence of operations. It was an important step in the history of computing hardware because it used a form of binary code and can be considered an early example of a stored-program machine.",45.764,4.8357,,Joseph Marie Jacquard,7,https://en.wikipedia.org/wiki/Joseph_Marie_Jacquard,1801
64a483d0af31172b7621184f,"He is best known for his design of the Analytical Engine, a mechanical general-purpose computer that was conceived as a successor to his earlier invention, the Difference Engine. Babbage's Analytical Engine incorporated key principles of modern computing, including the use of punched cards for input and output, a memory unit, and the ability to perform arithmetic and logical operations.",England,19,"“theory of computation”, “hardware”",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Charles_Babbage_-_1860.jpg/220px-Charles_Babbage_-_1860.jpg,"Charles Babbage was an English mathematician, philosopher, inventor, and mechanical engineer who is best known for conceiving of the idea of a programmable computer. He designed the ""Difference Engine,"" an automatic mechanical calculator designed to tabulate polynomial functions, and the more complex ""Analytical Engine,"" which was intended to perform any kind of calculation and can be considered an early model for the modern computer.",51.5074,0.1278,https://mathshistory.st-andrews.ac.uk/Biographies/Babbage/,Charles Babbage,8,https://en.wikipedia.org/wiki/Charles_Babbage,1822
64a483d0af31172b76211850,"Known for his foundational work in symbolic logic and Boolean algebra. Boole's algebraic system of logic became the basis for digital logic circuits and laid the groundwork for modern computer science and digital electronics. His Boolean algebra is fundamental in the design and analysis of computer algorithms and circuits, forming the backbone of digital computation. Boole's pioneering contributions have had a lasting impact on the field of computer science and the development of information technology.",England,19,"“theory of computation”, “hardware”",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/George_Boole_color.jpg/220px-George_Boole_color.jpg,"George Boole was an English mathematician, educator, philosopher and logician who lived in the 19th century. He worked in the fields of differential equations and algebraic logic, and is now best known as the author of ""The Laws of Thought"". This work contains Boolean algebra, which forms the basis of all modern computer arithmetic.",53.2344,-0.5383,https://mathshistory.st-andrews.ac.uk/Biographies/Boole/,George Boole,9,https://en.wikipedia.org/wiki/George_Boole,1847
64a483d0af31172b76211851,"An English mathematician and writer, chiefly known for her work on Charles Babbage's proposed mechanical general-purpose computer, the Analytical Engine. She was the first to recognize that the machine had applications beyond pure calculation, and created the first algorithm intended to be carried out by such a machine. As a result, she is often regarded as the first to recognize the full potential of a ""computing machine"" and the first computer programmer.",England,19,"“theory of computation”, “software”",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Ada_Byron_daguerreotype_by_Antoine_Claudet_1843_or_1850_-_cropped.png/640px-Ada_Byron_daguerreotype_by_Antoine_Claudet_1843_or_1850_-_cropped.png,"Ada Lovelace, born as Augusta Ada Byron, was an English mathematician and writer known for her work on Charles Babbage's proposed mechanical general-purpose computer, the Analytical Engine. She is recognized for writing the world's first machine algorithm for an early computing machine that existed only on paper, thus often referred to as the world's first computer programmer.",51.5072,0.1276,https://mathshistory.st-andrews.ac.uk/Biographies/Lovelace/,Ada Lovelace,10,https://en.wikipedia.org/wiki/Ada_Lovelace,1852
